ID,Discipline,Subdiscipline,Name,Formula,Role,Domain,Description,Derivation,Working Example,Negation/Failure,Source,Status,Assumptions
EQ-0102,Economics & Finance,General,Nash Equilibrium,"u_i(s_i*, s_{−i}*) ≥ u_i(s_i, s_{−i}*) for all s_i, for all i",Optimization / variational principle,"A strategy profile where no player can improve their payoff by unilaterally changing their strategy. It is the central solution concept in game theory, applicable to economics, political science, evolutionary biology, and AI.","A strategy profile where no player can improve their payoff by unilaterally changing their strategy. It is the central solution concept in game theory, applicable to economics, political science, evolutionary biology, and AI. Nash proved that every finite game has at least one equilibrium (possibly in mixed strategies).","Nash used Kakutani's fixed-point theorem. Define each player's best-response correspondence BR_i(s_{−i}) = argmax_{s_i} u_i(s_i, s_{−i}). The joint best-response BR(s) = (BR_1, ..., BR_n) maps the strategy space to itself. Since the strategy space is compact and convex (mixed strategies) and BR is upper-hemicontinuous with convex values, Kakutani's theorem guarantees a fixed point s* = BR(s*), which is a Nash equilibrium.","Prisoner's Dilemma: payoff matrix [(3,3),(0,5);(5,0),(1,1)] for (Cooperate, Defect). Player 1: if P2 cooperates, defect gives 5 > 3; if P2 defects, defect gives 1 > 0. Defect is dominant. By symmetry, (Defect, Defect) with payoff (1,1) is the unique Nash equilibrium, even though (3,3) is Pareto superior.","Nash equilibrium has well-known limitations: (1) Multiple equilibria — the Battle of the Sexes has two pure NE and one mixed NE, with no way to select among them. (2) Inefficiency — the Prisoner's Dilemma NE is Pareto-dominated. (3) Unrealistic rationality assumptions — experimental evidence shows humans deviate systematically (Ultimatum Game: responders reject 'unfair' offers of 20% despite NE prediction of accepting any positive offer). (4) Computational hardness — finding a Nash equilibrium is PPAD-complete (Daskalakis et al., 2009).","Nash, Proc. Natl. Acad. Sci. (1950)",consensus,System at or near equilibrium; See negation section for detailed failure modes
EQ-0103,Economics & Finance,General,GDP (Expenditure Approach),GDP = C + I + G + (X − M),Deterministic dynamical system,"Total economic output measured as the sum of consumption, investment, government spending, and net exports. This is the most widely used measure of economic activity and the foundation of macroeconomic analysis.","Total economic output measured as the sum of consumption, investment, government spending, and net exports. This is the most widely used measure of economic activity and the foundation of macroeconomic analysis.","GDP is an accounting identity, not a derived equation. It follows from the circular flow model: every expenditure by one agent is income for another. Total spending on final goods must equal total output. The expenditure approach counts spending by category: households (C), firms (I), government (G), and foreign sector (X−M).","US GDP (2023 approximate, trillions): C = $18.0, I = $4.8, G = $4.6, X = $3.1, M = $3.9. GDP = 18.0 + 4.8 + 4.6 + (3.1 − 3.9) = $26.6 trillion.","GDP fails to measure: (1) Non-market production (household labor, ~$8 trillion/year in the US if valued). (2) Negative externalities — pollution cleanup increases GDP even though it represents undoing harm. (3) Income distribution — GDP per capita can rise while median income falls. (4) Natural capital depletion — clear-cutting a forest increases GDP but reduces future productive capacity.","Kuznets, Natl. Bureau Econ. Res. (1934)",consensus,"to measure: (1) Non-market production (household labor, ~$8 trillion/year in the US if valued)."
EQ-0104,Economics & Finance,General,Fisher Equation,(1+i) = (1+r)(1+π),Deterministic dynamical system,"Relates nominal interest rate, real interest rate, and inflation rate. Approximately: i ≈ r + π.","Relates nominal interest rate, real interest rate, and inflation rate. Approximately: i ≈ r + π. It is fundamental to monetary economics, bond pricing, and investment analysis.","$1 invested at nominal rate i becomes $(1+i) after one year. Its real purchasing power is $(1+i)/(1+π), which must equal $(1+r) by definition of the real rate. Therefore (1+i) = (1+r)(1+π). For small rates: i ≈ r + π + rπ ≈ r + π.","Nominal rate i = 7%, inflation π = 4%. Real rate: 1+r = 1.07/1.04 = 1.0288, so r = 2.88%. Approximate: r ≈ 7% − 4% = 3% (close but slightly overestimates).","The Fisher equation assumes: (1) Expected inflation is known, but actual inflation is uncertain — the 'Fisher effect' (nominal rates adjusting 1:1 with expected inflation) is empirically weak, especially in the short run. (2) During deflationary spirals (Japan 1990s–2000s), real rates became very high despite near-zero nominal rates, causing a liquidity trap not captured by the simple equation.","Fisher, The Rate of Interest (1907)",consensus,See negation section for detailed failure modes
EQ-0105,Economics & Finance,General,Solow Growth Model,Δk = sf(k) − (δ+n)k,Deterministic dynamical system,Describes capital accumulation per worker as the difference between saving/investment and the combined effects of depreciation and population growth. It predicts convergence to a steady state and explains why sustained growth requires technological progress.,Describes capital accumulation per worker as the difference between saving/investment and the combined effects of depreciation and population growth. It predicts convergence to a steady state and explains why sustained growth requires technological progress.,"From the production function Y = F(K, AL), define y = Y/(AL), k = K/(AL). Capital accumulates: dK/dt = sY − δK. Dividing by AL: dk/dt = sy − (δ + n + g)k, where n = population growth and g = technological growth. In steady state dk/dt = 0: sf(k*) = (δ+n+g)k*.","f(k) = k^0.3, s = 0.2, δ = 0.05, n = 0.02. Steady state: 0.2k^0.3 = 0.07k. k* = (0.2/0.07)^(1/0.7) = 2.857^1.429 = 4.32. y* = 4.32^0.3 = 1.59. Consumption: c* = (1−0.2)(1.59) = 1.27. Golden rule: f'(k_gold) = δ+n gives k_gold = (0.3/0.07)^(1/0.7) = 10.8.","The Solow model predicts that countries with identical s, n, δ should converge to the same income level. Empirically, convergence is slow or absent — many developing countries haven't caught up despite decades. This 'convergence failure' led to endogenous growth theory (Romer 1986, Lucas 1988) where A grows endogenously, breaking the neoclassical convergence prediction.","Solow, Q. J. Econ. (1956)",consensus,See negation section for detailed failure modes
EQ-0106,Economics & Finance,General,Phillips Curve,π = π_e − β(u − u_n) + ε,Deterministic dynamical system,"An inverse relationship between inflation and unemployment, augmented by inflation expectations. When unemployment is below the natural rate, inflation accelerates; above it, inflation decelerates.","An inverse relationship between inflation and unemployment, augmented by inflation expectations. When unemployment is below the natural rate, inflation accelerates; above it, inflation decelerates. It is central to monetary policy decisions.","Wage-setting: firms set prices as a markup over wages; wages respond to labor market tightness. When u < u_n, labor is scarce, wages rise, costs rise, prices rise. In expectations-augmented form: π = π_e + f(u − u_n) where f' < 0. Linearizing: π = π_e − β(u − u_n). If π_e = π_{t-1} (adaptive expectations), this explains inflation persistence and the sacrifice ratio.","u_n = 5%, β = 0.5, π_e = 3%. If u = 4%: π = 3 − 0.5(4−5) = 3.5%. If u = 7%: π = 3 − 0.5(7−5) = 2.0%. Disinflation requires unemployment above the natural rate.","The Phillips Curve has repeatedly appeared to 'break down': (1) 1970s stagflation — high inflation AND high unemployment simultaneously, because supply shocks (oil) shifted the curve. (2) Post-2010 'missing inflation' — unemployment fell to 3.5% but inflation remained near 2%, suggesting a flattened Phillips Curve. (3) 2021-2022 inflation surge was driven by supply constraints, not labor market tightness.","Phillips, Economica (1958); Phelps (1967); Friedman (1968)",consensus,See negation section for detailed failure modes
EQ-0107,Economics & Finance,General,Supply–Demand Equilibrium,Q_d(P*) = Q_s(P*),Deterministic dynamical system,Market equilibrium occurs where quantity demanded equals quantity supplied. The equilibrium price P* clears the market.,"Market equilibrium occurs where quantity demanded equals quantity supplied. The equilibrium price P* clears the market. Deviations create excess supply (price falls) or excess demand (price rises), driving the market toward equilibrium.","Assume demand D(P) is decreasing in P and supply S(P) is increasing in P (standard assumptions). Since D(0) > S(0) and D(∞) < S(∞), by the intermediate value theorem there exists P* where D(P*) = S(P*). Stability: at P > P*, supply exceeds demand (surplus), sellers lower prices; at P < P*, demand exceeds supply (shortage), buyers bid up prices.","D(P) = 100 − 2P, S(P) = 20 + 3P. Equilibrium: 100 − 2P = 20 + 3P → 80 = 5P → P* = $16. Q* = 100 − 32 = 68 units. Consumer surplus = ½(50−16)(68) = $1,156. Producer surplus = ½(16−6.67)(68) = $317.","Supply-demand fails or is incomplete when: (1) Price floors/ceilings prevent equilibrium — rent control creates persistent shortages. (2) Externalities exist — pollution means the market price doesn't reflect the true social cost. (3) Market power — a monopolist sets MR = MC, not P = MC, producing less than the competitive quantity. (4) Information asymmetry (Akerlof's 'market for lemons') can cause market collapse.","Marshall, Principles of Economics (1890)",consensus,or is incomplete when: (1) Price floors/ceilings prevent equilibrium — rent control creates persistent shortages.
EQ-0108,Social Sciences & Psychology,General,Pearson Correlation Coefficient,r = Σ(x_i−̄x)(y_i−̄y) / √[Σ(x_i−̄x)² Σ(y_i−̄y)²],Statistical model,"Measures the strength and direction of the linear relationship between two continuous variables, ranging from −1 (perfect negative) to +1 (perfect positive). It is the most commonly used measure of association in the social sciences.","Measures the strength and direction of the linear relationship between two continuous variables, ranging from −1 (perfect negative) to +1 (perfect positive). It is the most commonly used measure of association in the social sciences.","r is defined as the cosine of the angle between the centered data vectors (x − ̄x) and (y − ̄y) in n-dimensional space. By the Cauchy–Schwarz inequality: |r| = |<x−̄x, y−̄y>|/(||x−̄x|| × ||y−̄y||) ≤ 1. r = 1 iff the vectors are perfectly aligned (y = ax + b, a > 0). The square r² represents the proportion of variance in y explained by x (coefficient of determination).","Study hours (x) and exam score (y) for 5 students: (2,65), (4,75), (6,80), (8,88), (10,95). ̄x = 6, ̄y = 80.6. Σ(x−̄x)(y−̄y) = (−4)(−15.6)+(−2)(−5.6)+(0)(−0.6)+(2)(7.4)+(4)(14.4) = 62.4+11.2+0+14.8+57.6 = 146. Σ(x−̄x)² = 40, Σ(y−̄y)² = 560.8. r = 146/√(40×560.8) = 146/149.8 = 0.975. Strong positive linear relationship.",r is misleading when: (1) The relationship is nonlinear — x and y = x² give r ≈ 0 for symmetric data despite a perfect functional relationship. (2) Outliers dominate — a single extreme point can inflate r from 0 to 0.8. (3) Restriction of range — sampling only high-performing students compresses the x-range and attenuates r. Anscombe's Quartet shows four datasets with identical r = 0.816 but wildly different patterns.,"Pearson, Phil. Trans. R. Soc. A (1896)",consensus,Idealized conditions; Linear regime / small perturbations; See negation section for detailed failure modes
EQ-0109,Social Sciences & Psychology,General,Chi-Square Test,χ² = Σ (O_i − E_i)² / E_i,Statistical model,Tests whether observed frequency data differ significantly from expected frequencies (goodness-of-fit) or whether two categorical variables are independent (test of independence). It is the most widely used test for categorical data in the social and biological sciences.,Tests whether observed frequency data differ significantly from expected frequencies (goodness-of-fit) or whether two categorical variables are independent (test of independence). It is the most widely used test for categorical data in the social and biological sciences.,"Under the null hypothesis, each O_i is a multinomial random variable with expected value E_i. For large n, (O_i − E_i)/√E_i is approximately N(0,1) (by CLT). The sum of squared standardized deviations Σ(O_i−E_i)²/E_i follows a chi-square distribution with k−1 degrees of freedom (for goodness-of-fit) or (r−1)(c−1) (for independence). Large χ² indicates significant departure from the null.","Test if a die is fair. Observed counts for 120 rolls: {18, 22, 17, 21, 23, 19}. Expected: 20 each. χ² = (18−20)²/20 + (22−20)²/20 + ... = 4/20+4/20+9/20+1/20+9/20+1/20 = 28/20 = 1.40. With df = 5, critical value at α = 0.05 is 11.07. Since 1.40 < 11.07, we fail to reject H₀: the die is fair.","Chi-square test fails when: (1) Expected frequencies are too small (E_i < 5) — the normal approximation breaks down. Fisher's exact test should be used instead. (2) Observations are not independent (paired or matched data) — McNemar's test is appropriate. (3) The sample is too large — with n = 10,000,000, even tiny, meaningless deviations become 'significant.' Effect size (Cramér's V) should supplement the p-value.","Pearson, Phil. Mag. (1900)",consensus,(1) Expected frequencies are too small (E_i < 5) — the normal approximation breaks down.
EQ-0110,Social Sciences & Psychology,General,ANOVA (F-statistic),F = MS_between / MS_within,Statistical model,"Tests whether the means of three or more groups differ significantly by comparing between-group variance to within-group variance. If the group means are truly equal, both variance estimates should be similar and F ≈ 1.","Tests whether the means of three or more groups differ significantly by comparing between-group variance to within-group variance. If the group means are truly equal, both variance estimates should be similar and F ≈ 1. Large F indicates at least one group mean differs.","Total sum of squares decomposes: SS_total = SS_between + SS_within. Under H₀ (all means equal), both MS_between = SS_between/(k−1) and MS_within = SS_within/(N−k) are unbiased estimates of σ². Their ratio F = MS_between/MS_within follows an F-distribution with (k−1, N−k) degrees of freedom. Under H_a, MS_between is inflated by the true mean differences, so F > 1.","Three treatments with scores: Group A = {4,5,6}, Group B = {7,8,9}, Group C = {10,11,12}. Grand mean = 8. SS_between = 3[(5−8)² + (8−8)² + (11−8)²] = 3[9+0+9] = 54. SS_within = (1+0+1)+(1+0+1)+(1+0+1) = 6. MS_between = 54/2 = 27, MS_within = 6/6 = 1. F = 27/1 = 27. With df(2,6), p < 0.001. Strong evidence of group differences.","ANOVA assumes: (1) Normal distributions within groups — highly skewed or heavy-tailed data violates this; Kruskal–Wallis nonparametric test is more robust. (2) Homogeneity of variances — if one group has σ = 10 and another σ = 1, the F-test becomes unreliable; Welch's ANOVA should be used. (3) Independence — repeated measures on the same subjects violate independence and require repeated-measures ANOVA or mixed models.","Fisher, Statistical Methods for Research Workers (1925)",consensus,See negation section for detailed failure modes
EQ-0111,Social Sciences & Psychology,General,Weber–Fechner Law,S = k ln(I/I₀),Empirical / phenomenological relation,"Perceived sensation intensity is proportional to the logarithm of the physical stimulus intensity. This explains why we perceive differences in brightness, loudness, and weight on a logarithmic scale — a doubling of stimulus does not double the perceived intensity.","Perceived sensation intensity is proportional to the logarithm of the physical stimulus intensity. This explains why we perceive differences in brightness, loudness, and weight on a logarithmic scale — a doubling of stimulus does not double the perceived intensity.","Weber's Law (empirical): the just-noticeable difference (JND) in a stimulus is proportional to the stimulus intensity: ΔI/I = k (constant). Fechner integrated this: dS = c(ΔI/I) = c(dI/I). Integrating: S = c ln I + C = k ln(I/I₀), where I₀ is the threshold intensity (S = 0). This gives a logarithmic psychophysical function.","Weightlifting: Weber fraction for weight ≈ 0.02. Holding 100 g, JND = 2 g. Holding 1000 g, JND = 20 g. You can tell 100 g from 102 g, but not 1000 g from 1002 g. Perceived heaviness: S = k ln(I/I₀). Going from 100 g to 200 g (doubling) feels the same as going from 1000 g to 2000 g (also doubling), even though the absolute difference is 100 g vs 1000 g.","Weber–Fechner fails at: (1) Very low stimulus intensities near threshold — the Weber fraction increases rather than staying constant. (2) Very high intensities — the relationship saturates or deviates. (3) Stevens (1957) showed that for many modalities, the relationship is a power law S = k(I − I₀)^n rather than logarithmic. Electric shock (n = 3.5) and brightness (n = 0.33) have very different exponents, which the Weber–Fechner logarithmic model cannot accommodate.",Weber (1834); Fechner (1860),consensus,(1) Very low stimulus intensities near threshold — the Weber fraction increases rather than staying constant.
EQ-0112,Social Sciences & Psychology,General,Student's t-test,t = (̄x − μ) / (s/√n),Statistical model,"Tests whether a sample mean differs significantly from a hypothesized value when the population standard deviation is unknown and estimated from the sample. The t-distribution has heavier tails than the normal, accounting for additional uncertainty from estimating σ.","Tests whether a sample mean differs significantly from a hypothesized value when the population standard deviation is unknown and estimated from the sample. The t-distribution has heavier tails than the normal, accounting for additional uncertainty from estimating σ.","Define Z = (̄x − μ)/(σ/√n) ~ N(0,1) and V = (n−1)s²/σ² ~ χ²(n−1). Then t = Z/√(V/(n−1)) = (̄x − μ)/(s/√n) follows a t-distribution with (n−1) degrees of freedom. As n → ∞, t → Z (normal), but for small n, the heavier tails provide wider confidence intervals.","Sample of n = 10 scores: ̄x = 52, s = 8, testing H₀: μ = 50. t = (52−50)/(8/√10) = 2/2.53 = 0.791. With df = 9, critical t(0.05, two-tailed) = 2.262. Since 0.791 < 2.262, fail to reject H₀ (insufficient evidence).","The t-test fails when: (1) Data are heavily skewed or have outliers — a single extreme value can dominate s and ̄x, making the test misleading. Non-parametric alternatives (Wilcoxon) are more robust. (2) Sample sizes are very small (n < 5) and the data are clearly non-normal. (3) Observations are not independent — repeated measures require paired t-tests or more complex models.","Gosset ('Student'), Biometrika (1908)",consensus,"(1) Data are heavily skewed or have outliers — a single extreme value can dominate s and ̄x, making the test misleading."
EQ-0113,Social Sciences & Psychology,General,Logistic Regression,P(Y=1) = 1/(1 + e^(−(β₀+β₁X))),Statistical model,"Models the probability of a binary outcome as a logistic (sigmoid) function of predictors. Unlike linear regression, it constrains predictions to [0,1] and models the log-odds as a linear function.","Models the probability of a binary outcome as a logistic (sigmoid) function of predictors. Unlike linear regression, it constrains predictions to [0,1] and models the log-odds as a linear function. It is the most widely used classification model in medicine, social science, and machine learning.","Assume log-odds are linear: ln(P/(1−P)) = β₀ + βX. Solving for P: P/(1−P) = e^(β₀+βX), so P = e^(β₀+βX)/(1+e^(β₀+βX)) = 1/(1+e^(−(β₀+βX))). Parameters are estimated by maximum likelihood: L = ∏ P_i^{y_i}(1−P_i)^{1−y_i}.","Predicting heart disease: β₀ = −6, β_age = 0.08, β_chol = 0.01. For age = 60, cholesterol = 250: logit = −6 + 0.08(60) + 0.01(250) = −6 + 4.8 + 2.5 = 1.3. P = 1/(1+e^(−1.3)) = 0.786 (78.6% risk).","Logistic regression assumes: (1) Linear log-odds — if the true relationship is U-shaped (e.g., both very low and very high BMI increase mortality risk), the model cannot capture it without polynomial terms. (2) No perfect multicollinearity. (3) Independence of observations. (4) The 'complete separation' problem: if a predictor perfectly separates classes, the MLE doesn't exist (β → ∞).","Cox, J. R. Stat. Soc. B (1958)",consensus,Linear regime / small perturbations; See negation section for detailed failure modes
EQ-0114,Social Sciences & Psychology,General,Signal Detection Theory (d'),d' = z(Hit Rate) − z(False Alarm Rate),Statistical model,"d-prime separates an observer's sensitivity (ability to distinguish signal from noise) from their response bias (tendency to say 'yes' or 'no'). It is the cornerstone of psychophysics, medical diagnosis evaluation, and radar detection theory.","d-prime separates an observer's sensitivity (ability to distinguish signal from noise) from their response bias (tendency to say 'yes' or 'no'). It is the cornerstone of psychophysics, medical diagnosis evaluation, and radar detection theory.","Assume signal and noise produce Gaussian distributions of internal evidence, separated by d' standard deviations. The observer places a criterion c: responds 'yes' if evidence > c. Hit rate = P(evidence > c | signal) = Φ((d'−2c)/2), False alarm rate = P(evidence > c | noise) = Φ(−c). In equal-variance case: d' = z(HR) − z(FAR), where z is the inverse normal CDF.","Medical screening: HR = 0.90, FAR = 0.20. d' = z(0.90) − z(0.20) = 1.28 − (−0.84) = 2.12. This indicates good discriminability. Criterion c = −½(z(HR) + z(FAR)) = −½(1.28 + (−0.84)) = −0.22 (liberal bias toward saying 'signal present').","d' assumes: (1) Equal variance for signal and noise distributions — if variances differ, d' underestimates sensitivity for high-confidence responses. The ROC curve provides a more general measure (area under ROC = A'). (2) Gaussian distributions — for strongly skewed evidence distributions, d' is not meaningful. (3) Stationary criterion — if the observer shifts strategy during testing, d' conflates sensitivity and criterion shifts.","Green & Swets, Signal Detection Theory (1966)",consensus,See negation section for detailed failure modes
EQ-0115,Environmental & Earth Sciences,General,Radiative Forcing (CO₂),ΔF = 5.35 ln(C/C₀),Conservation law,The change in Earth's energy balance due to changes in atmospheric CO₂ concentration. A doubling of CO₂ produces ΔF ≈ 3.,The change in Earth's energy balance due to changes in atmospheric CO₂ concentration. A doubling of CO₂ produces ΔF ≈ 3.7 W/m². This is the key equation linking greenhouse gas concentrations to global warming. The logarithmic form means each doubling has roughly equal effect.,"Derived from line-by-line radiative transfer calculations through the atmosphere. CO₂ absorbs infrared radiation in the 15 μm band. At current concentrations, the center of this band is already saturated (opaque), so additional CO₂ increases absorption mainly in the 'wings' of the band. This wing absorption grows logarithmically with concentration. Myhre et al. fit the constant 5.35 W/m² to detailed radiative transfer model outputs across a range of CO₂ levels.",Pre-industrial CO₂: C₀ = 280 ppm. Current: C = 420 ppm. ΔF = 5.35 × ln(420/280) = 5.35 × 0.405 = 2.17 W/m². For doubling (560 ppm): ΔF = 5.35 × ln(2) = 5.35 × 0.693 = 3.71 W/m². With climate sensitivity λ ≈ 0.8 K/(W/m²): equilibrium warming = 3.71 × 0.8 = 2.97°C.,"The formula is an approximation that fails at: (1) Extremely high CO₂ (> 4× preindustrial) where additional absorption bands become important and the logarithmic fit underestimates forcing. (2) It does not include feedbacks (water vapor, albedo, clouds) that amplify or dampen the temperature response. The equilibrium climate sensitivity (ECS = 2–5°C per doubling) has large uncertainty precisely because of these feedbacks.","Myhre et al., Geophys. Res. Lett. (1998)",consensus,(1) Extremely high CO₂ (> 4× preindustrial) where additional absorption bands become important and the logarithmic fit underestimates forcing.
EQ-0116,Environmental & Earth Sciences,General,Darcy's Law,Q = −KA(dh/dl),Constitutive relation,"The volumetric flow rate of groundwater through a porous medium is proportional to the hydraulic conductivity, cross-sectional area, and hydraulic gradient. It is the fundamental equation of hydrogeology, governing groundwater flow, aquifer analysis, and contaminant transport.","The volumetric flow rate of groundwater through a porous medium is proportional to the hydraulic conductivity, cross-sectional area, and hydraulic gradient. It is the fundamental equation of hydrogeology, governing groundwater flow, aquifer analysis, and contaminant transport.","Darcy established this empirically by measuring water flow through sand columns. Theoretically, it can be derived from the Navier–Stokes equations for slow (Stokes) flow through a pore network. At low Reynolds number (Re < 1 in the pores), inertial terms are negligible and the flow rate is proportional to the pressure gradient. Averaging over the pore structure gives Q/A = −K(dh/dl), where K = kρg/μ (k = intrinsic permeability, μ = viscosity).","Aquifer: K = 10⁻⁴ m/s (sandy gravel), A = 100 m² cross-section, head difference Δh = 5 m over distance L = 500 m. Q = KA(Δh/L) = (10⁻⁴)(100)(0.01) = 10⁻⁴ m³/s = 8.64 m³/day. Groundwater velocity: v = Q/(nA) where n = porosity = 0.3: v = 10⁻⁴/(0.3×100) = 3.3×10⁻⁶ m/s ≈ 0.29 m/day.","Darcy's Law fails for: (1) Turbulent flow in very permeable media (coarse gravel, fractured rock) where Re > ~10. The Forchheimer equation adds a quadratic velocity term. (2) Very low permeability clays where threshold gradients may exist before flow begins (non-Darcian behavior). (3) Unsaturated (vadose zone) flow where K depends on water content, requiring Richards' equation: ∂θ/∂t = ∇·[K(θ)∇h].","Darcy, Les fontaines publiques de Dijon (1856)",consensus,"(1) Turbulent flow in very permeable media (coarse gravel, fractured rock) where Re > ~10."
EQ-0117,Environmental & Earth Sciences,General,Clausius–Clapeyron (Climate),de_s/dT = L e_s / (R_v T²),Deterministic dynamical system,"The rate of increase of saturation vapor pressure with temperature. Warmer air holds exponentially more moisture (~7% per °C), making this equation central to understanding how precipitation patterns, extreme rainfall, and tropical cyclone intensity change with global warming.","The rate of increase of saturation vapor pressure with temperature. Warmer air holds exponentially more moisture (~7% per °C), making this equation central to understanding how precipitation patterns, extreme rainfall, and tropical cyclone intensity change with global warming.",At liquid–vapor equilibrium: dP/dT = ΔS/ΔV = L/(TΔV). Approximating ΔV ≈ V_gas = R_vT/e_s (ideal gas): de_s/dT = Le_s/(R_vT²). Integrating (constant L): ln(e_s/e₀) = (L/R_v)(1/T₀ − 1/T).,"At T = 20°C (293 K): e_s = 23.4 hPa. Warming to 21°C: de_s/dT = (2.5×10⁶)(23.4×10²)/((461)(293)²) = 1.48 hPa/K. So e_s(21°C) ≈ 24.9 hPa, a 6.4% increase. This ~7%/°C scaling is fundamental to climate projections.","The simplified form assumes constant L and ideal gas behavior. Near the critical point of water (647 K, 220 atm), L → 0 and the ideal gas approximation breaks down completely. For climate applications, the 7%/K scaling works well for surface conditions but not at upper tropospheric temperatures where ice saturation has different thermodynamics.","Clausius (1850); Held & Soden, J. Climate (2006)",consensus,completely.
EQ-0118,Environmental & Earth Sciences,General,Budyko Energy Balance,(1−α)S/4 = εσT⁴,Conservation law,Global mean energy balance: absorbed solar radiation equals emitted longwave radiation. This zero-dimensional energy balance model is the simplest climate model and captures the fundamental physics of Earth's temperature.,Global mean energy balance: absorbed solar radiation equals emitted longwave radiation. This zero-dimensional energy balance model is the simplest climate model and captures the fundamental physics of Earth's temperature.,"Solar flux at Earth's distance: S ≈ 1361 W/m². Earth intercepts πR² of this and distributes over 4πR² (sphere), giving S/4 per unit area. Fraction absorbed: (1−α) where α is albedo. Emitted longwave: εσT⁴ (Stefan–Boltzmann). Energy balance: (1−α)S/4 = εσT⁴.","Earth: α = 0.30, S = 1361 W/m², ε = 0.612 (effective emissivity including greenhouse effect). T = [(1−0.30)(1361)/(4×0.612×5.67×10⁻⁸)]^(1/4) = [238.2/(1.39×10⁻⁷)]^0.25 = [1.72×10⁹]^0.25 = 288 K = 15°C. Matches observed global mean temperature.","Without the greenhouse effect (ε = 1): T = [(0.70×1361)/(4×5.67×10⁻⁸)]^0.25 = [238.2/2.27×10⁻⁷]^0.25 = 255 K = −18°C. Earth would be a frozen snowball. The 33°C greenhouse effect is why the planet is habitable. However, the model oversimplifies by treating Earth as a uniform sphere — real climate requires atmospheric dynamics, ocean circulation, and ice-albedo feedback not captured here.","Budyko, Tellus (1969)",consensus,See negation section for detailed failure modes
EQ-0119,Environmental & Earth Sciences,General,Darcy's Law (Groundwater),Q = −KA(dh/dl),Constitutive relation,"Groundwater flow through porous media is proportional to the hydraulic conductivity, cross-sectional area, and hydraulic gradient. It is the fundamental equation of hydrogeology.","Groundwater flow through porous media is proportional to the hydraulic conductivity, cross-sectional area, and hydraulic gradient. It is the fundamental equation of hydrogeology.",Darcy established this empirically. Theoretically derivable from Navier–Stokes equations at low Reynolds number (Stokes flow) through a pore network. The averaging gives q = −(k/μ)∇P where k = intrinsic permeability and K = kρg/μ is hydraulic conductivity.,"Aquifer: K = 10⁻⁴ m/s, A = 100 m², Δh = 5 m over L = 500 m. Q = (10⁻⁴)(100)(5/500) = 10⁻⁴ m³/s = 8.64 m³/day. Groundwater velocity = Q/(nA) where n = 0.3: v = 3.3×10⁻⁶ m/s ≈ 0.29 m/day.",Fails for: (1) Turbulent flow in karst limestone (large fractures) where Re > 10. (2) Very tight clays where threshold gradients may exist. (3) Unsaturated soils where K depends on water content (Richards' equation needed).,"Darcy, Les fontaines publiques de Dijon (1856)",consensus,(1) Turbulent flow in karst limestone (large fractures) where Re > 10.
EQ-0120,Medicine & Pharmacology,General,Half-Life (First-Order Elimination),t½ = 0.693/k_e,Empirical / phenomenological relation,The time required for a drug's plasma concentration to decrease by half. It governs dosing intervals: drugs are typically administered every one half-life for stable concentrations.,"The time required for a drug's plasma concentration to decrease by half. It governs dosing intervals: drugs are typically administered every one half-life for stable concentrations. After 5 half-lives, ~97% of the drug is eliminated.","For first-order elimination: dC/dt = −k_eC, giving C(t) = C₀e^(−k_et). At t = t½: C = C₀/2. Substituting: C₀/2 = C₀e^(−k_et½), so ½ = e^(−k_et½). Taking ln: −ln 2 = −k_et½, giving t½ = ln 2/k_e = 0.693/k_e.","Ibuprofen: t½ = 2 hours. If C₀ = 200 μg/mL after a dose: at 2 hours, C = 100 μg/mL; at 4 hours, C = 50; at 6 hours, C = 25; at 10 hours (5 half-lives), C = 6.25 μg/mL (3.1% remaining). Dosing every 4–6 hours maintains therapeutic levels.","First-order half-life fails for: (1) Drugs with saturable (zero-order) elimination — ethanol at high concentrations is metabolized at a constant rate (~7 g/hr) regardless of concentration, so halving takes longer at higher levels. (2) Multi-compartment pharmacokinetics — drugs like thiopental have a rapid distribution phase (t½α = 3 min) and a slow elimination phase (t½β = 12 hrs); the 'half-life' depends on which phase dominates. (3) Drugs with enterohepatic recycling (e.g., some contraceptives) show secondary peaks that violate simple exponential decay.","Wagner, J. Pharmacokinet. Biopharm. (1973)",consensus,"(1) Drugs with saturable (zero-order) elimination — ethanol at high concentrations is metabolized at a constant rate (~7 g/hr) regardless of concentration, so halving takes longer at higher levels."
